,ICAO_model,EngineType,WTC,oew,mtow
0,A306,Jet,H,87000,171700
1,A30B,Jet,H,90000,165000
2,A310,Jet,H,81000,150000
3,A319,Jet,M,40000,70000
4,A320,Jet,M,39000,77000
5,A321,Jet,M,47800,83000
6,A332,Jet,H,120600,230000
7,A333,Jet,H,125100,212000
8,A343,Jet,H,131000,275000
9,A346,Jet,H,173640,365000
10,A388,Jet,H,295000,560000
11,AT43,Turboprop,M,10285,16700
12,AT72,Turboprop,M,12950,21500
13,ATP,Turboprop,M,14202,22930
14,B462,Jet,M,23900,42200
15,B703,Jet,H,66000,140000
16,B712,Jet,M,30600,52600
17,B722,Jet,M,45400,86400
18,B732,Jet,M,27200,52300
19,B733,Jet,M,32900,62800
20,B734,Jet,M,34820,68000
21,B735,Jet,M,31520,60680
22,B736,Jet,M,37000,65000
23,B737,Jet,M,38100,70080
24,B738,Jet,M,41150,78300
25,B743,Jet,H,173730,377800
26,B744,Jet,H,180440,396800
27,B752,Jet,M,57180,115900
28,B753,Jet,M,64590,122500
29,B762,Jet,H,83181,160000
30,B763,Jet,H,89902,181400
31,B764,Jet,H,103200,204100
32,B772,Jet,H,138100,287000
33,B773,Jet,H,159600,299300
34,BA11,Jet,M,22500,39463
35,BE58,Piston,L,1579,2454
36,BE99,Turboprop,L,3000,4700
37,BE9L,Turboprop,L,2710,4581
38,C130,Turboprop,M,31710,81540
39,C160,Turboprop,M,29000,49150
40,C421,Piston,L,2274,3085
41,C510,Jet,L,2518,3921
42,C550,Jet,L,3350,6025
43,C560,Jet,M,5000,7210
44,C750,Jet,M,9708,16193
45,CL60,Jet,M,9290,20230
46,CRJ1,Jet,M,14800,24000
47,CRJ2,Jet,M,14860,23130
48,CRJ9,Jet,M,22200,38000
49,D328,Turboprop,M,8810,13640
50,DA42,Piston,L,1250,1785
51,DC10,Jet,H,121000,250000
52,DC87,Jet,H,69000,152000
53,DC94,Jet,M,27000,51700
54,DH8A,Turboprop,M,10000,15650
55,DH8C,Turboprop,M,11763,19500
56,DH8D,Turboprop,M,17108,29256
57,E120,Turboprop,M,8000,11500
58,E135,Jet,M,11500,19990
59,E145,Jet,M,12100,22000
60,E170,Jet,M,21140,37200
61,E190,Jet,M,28180,51800
62,EA50,Jet,L,1646,2719
63,F100,Jet,M,24600,43090
64,F27,Turboprop,M,12000,20000
65,F28,Jet,M,17400,33000
66,F50,Turboprop,M,13000,20820
67,F70,Jet,M,22800,39900
68,F900,Jet,M,10500,21000
69,FA10,Jet,M,5000,8755
70,FA20,Jet,M,7340,12000
71,H25A,Jet,M,6214,9848
72,JS32,Turboprop,M,4578,7350
73,JS41,Turboprop,M,6350,10433
74,L101,Jet,H,100000,200000
75,LJ35,Jet,M,4590,8300
76,LJ45,Jet,M,6300,9300
77,MD11,Jet,H,131520,285990
78,MD82,Jet,M,35369,67810
79,MD83,Jet,M,36154,72575
80,MU2,Turboprop,L,2600,4750
81,P28A,Piston,L,613,1106
82,PA27,Piston,L,1000,2360
83,PA31,Piston,L,1540,2950
84,PA34,Piston,L,1600,2072
85,PAY2,Turboprop,L,2280,4080
86,PAY3,Turboprop,L,3266,5080
87,RJ85,Jet,M,25600,44000
88,SB20,Turboprop,M,13800,22800
89,SF34,Turboprop,M,8684,13155
90,SH36,Turboprop,M,7870,12290
91,SW4,Turboprop,L/M,3800,5745
92,T134,Jet,M,30000,47000
93,TRIN,Piston,L,800,1400
94,AT45,Turboprop,M,11250,18600
95,B742,Jet,H,172600,356000
96,FGTL,Jet,H,86000,214600
97,T154,Jet,M,55300,100000
98,BE20,Turboprop,L,3660,5670
